rank	word	normalized_word	count	subjects	files	first_seen	preview_path	audio_path	meaning	basic_form	accent	synonyms
27	supply	supply	4	Geology,SantaAI	Geology/55words.md,SantaAI/単語集/5月/知らない単語集0517.md,SantaAI/単語集/6月/知らない単語集0602.md,SantaAI/単語集/6月/知らない単語集0616.md	Geology/55words.md	Geology/55words_pronunciation/index.html	Geology/55words_pronunciation/audio/037_supply.mp3	供給する；供給		sə-PLĪ	provide, deliver, furnish
28	abandon	abandon	3	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md,SantaAI/単語集/5月/知らない単語集0526.md,SantaAI/単語集/6月/知らない単語集0617.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/SantaAI_pronunciation/audio/028_abandon.mp3	放棄する		ə-BAN-dən	give up, leave, desert
29	although	although	3	Archaeology,Biology,History	Archaeology/04/04words.md,Biology/37words.md,History/07words.md	Archaeology/04/04words.md	Archaeology/04/04words_pronunciation/index.html	Archaeology/04/04words_pronunciation/audio/010_although.mp3	～にもかかわらず、～だけれども		ôl-THŌ	though, even though, whereas
30	avoid	avoid	3	SantaAI	SantaAI/単語集/5月/知らない単語集0527.md,SantaAI/単語集/5月/知らない単語集0528.md,SantaAI/単語集/6月/知らない単語集0607.md	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/SantaAI_pronunciation/audio/030_avoid.mp3	避ける		ə-VOID	prevent, evade, steer clear of
31	cohesion	cohesion	3	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/6月/知らない単語集0603.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/SantaAI_pronunciation/audio/031_cohesion.mp3	結束、まとまり		kō-HĒ-zhən	unity, solidarity, coherence
32	colonize	colonize	3	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/5月/知らない単語集0526.md,SantaAI/単語集/6月/知らない単語集0608.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/SantaAI_pronunciation/audio/032_colonize.mp3	植民する；定着する		KÄL-ə-nīz	settle, establish, populate
33	combined	combined	3	ComputerScience,History,SantaAI	ComputerScience/44words.md,History/07words.md,SantaAI/単語集/5月/知らない単語集0525.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html	ComputerScience/44words_pronunciation/audio/031_combined.mp3	結合した；組み合わせた	combine	kəm-BĪND	merged, integrated, united
34	conservation	conservation	3	SantaAI	SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/6月/知らない単語集0602.md,SantaAI/単語集/6月/知らない単語集0619&0620.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/SantaAI_pronunciation/audio/034_conservation.mp3	保全；保存		kän-sər-VĀ-shən	preservation, protection, safeguarding
35	consider	consider	3	ComputerScience,SantaAI	ComputerScience/44words.md,SantaAI/単語集/5月/知らない単語集0518.md,SantaAI/単語集/6月/知らない単語集0602.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html	ComputerScience/44words_pronunciation/audio/028_consider.mp3	考慮する；検討する		kən-SĬD-ər	examine, take into account, contemplate
36	considerable	considerable	3	Economics,SantaAI	Economics/12words.md,SantaAI/単語集/5月/知らない単語集0526.md,SantaAI/単語集/6月/知らない単語集0603.md	Economics/12words.md	Economics/12words_pronunciation/index.html	Economics/12words_pronunciation/audio/027_considerable.mp3	かなりの；相当な		kən-SID-ə-rə-bəl	substantial, significant, sizable
37	consumption	consumption	3	Environmentology,Medicine,SantaAI	Environmentology/13words.md,Medicine/57words.md,SantaAI/単語集/5月/知らない単語集0526.md	Environmentology/13words.md	Environmentology/13words_pronunciation/index.html	Environmentology/13words_pronunciation/audio/004_consumption.mp3	消費；消費量		kən-SƏMP-shən	use, utilization, spending
38	crucial	crucial	3	SantaAI	SantaAI/単語集/5月/知らない単語集0515.md,SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0515.md	SantaAI/単語集/5月/知らない単語集0515.md	SantaAI/SantaAI_pronunciation/audio/038_crucial.mp3	極めて重要な；決定的な		KRŌŌ-shəl	vital, essential, critical
39	decisions	decisions	3	BusinessAsministration&Economics,ComputerScience,SantaAI	BusinessAsministration&Economics/11words.md,ComputerScience/44words.md,SantaAI/単語集/5月/知らない単語集0513.md	BusinessAsministration&Economics/11words.md	BusinessAsministration&Economics/11words_pronunciation/index.html	BusinessAsministration&Economics/11words_pronunciation/audio/002_decisions.mp3	決定；判断	decision	di-SIZH-ən	choices, judgments, resolutions
40	despite	despite	3	AmericanHistory,History,MediaStudies	AmericanHistory/09words.md,History/07words.md,MediaStudies/52words.md	AmericanHistory/09words.md	AmericanHistory/09words_pronunciation/index.html	AmericanHistory/09words_pronunciation/audio/040_despite.mp3	〜にもかかわらず		dĭ-SPĪT	in spite of, regardless of, notwithstanding
41	distribute	distribute	3	SantaAI	SantaAI/単語集/5月/知らない単語集0522.md,SantaAI/単語集/6月/知らない単語集0607.md,SantaAI/単語集/6月/知らない単語集0615.md	SantaAI/単語集/5月/知らない単語集0522.md	SantaAI/単語集/5月/知らない単語集0522.md	SantaAI/SantaAI_pronunciation/audio/041_distribute.mp3	配布する、分配する		dĭ-STRĬB-yoot	allocate, deliver, spread
42	emergency	emergency	3	SantaAI	SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/5月/知らない単語集0527.md,SantaAI/単語集/6月/知らない単語集0615.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/SantaAI_pronunciation/audio/042_emergency.mp3	緊急事態		ĭ-MÛR-jən-sē	crisis, urgent situation, emergency case
43	enabling	enabling	3	ComputerScience,SantaAI	ComputerScience/44words.md,SantaAI/単語集/5月/知らない単語集0513.md,SantaAI/単語集/5月/知らない単語集0529.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html	ComputerScience/44words_pronunciation/audio/012_enabling.mp3	可能にすること；実現させること	enable	ĭ-NĀ-bəl-ĭng	allowing, empowering, facilitating
44	ensure	ensure	3	Medicine,SantaAI	Medicine/58words.md,SantaAI/単語集/5月/知らない単語集0522.md,SantaAI/単語集/5月/知らない単語集0523.md	Medicine/58words.md	Medicine/58words_pronunciation/index.html	Medicine/58words_pronunciation/audio/031_ensure.mp3	確実にする		en-SHOOR	guarantee, secure, make certain
45	experts	experts	3	MediaStudies,Psychology,SantaAI	MediaStudies/52words.md,Psychology/29words.md,SantaAI/単語集/5月/知らない単語集0523.md	MediaStudies/52words.md	MediaStudies/52words_pronunciation/index.html	MediaStudies/52words_pronunciation/audio/015_experts.mp3	専門家	expert	ĔK-spûrts	specialists, professionals, authorities
46	facilities	facilities	3	Economics,SantaAI	Economics/12words.md,SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/6月/知らない単語集0605.md	Economics/12words.md	Economics/12words_pronunciation/index.html	Economics/12words_pronunciation/audio/039_facilities.mp3	設備（複数）；施設（複数）	facility	fə-SIL-ə-tē	amenities, infrastructure, installations
47	fascinating	fascinating	3	ArtHistory,SantaAI	ArtHistory/05/05words.md,SantaAI/単語集/5月/知らない単語集0526.md,SantaAI/単語集/6月/知らない単語集0603.md	ArtHistory/05/05words.md	ArtHistory/05/05words_pronunciation/index.html	ArtHistory/05/05words_pronunciation/audio/001_fascinating.mp3	魅力的な；非常に興味深い		FAS-ĭ-nā-tĭng	captivating, enthralling, intriguing
48	figure out	figure out	3	Geology,SantaAI	Geology/54words.md,SantaAI/単語集/5月/知らない単語集0517.md,SantaAI/単語集/5月/知らない単語集0530.md	Geology/54words.md	Geology/54words_pronunciation/index.html	Geology/54words_pronunciation/audio/039_figure_out.mp3	理解する；解明する		FIG-yər out	determine, understand, solve
49	fluid	fluid	3	Medicine,Physics,SantaAI	Medicine/58words.md,Physics/60words.md,SantaAI/単語集/6月/知らない単語集0609.md	Medicine/58words.md	Medicine/58words_pronunciation/index.html	Medicine/58words_pronunciation/audio/035_fluid.mp3	体液；流体		FLŪ-id	liquid, bodily fluid, moisture
50	gather	gather	3	History,SantaAI	History/07words.md,SantaAI/単語集/5月/知らない単語集0526.md,SantaAI/単語集/5月/知らない単語集0530.md	History/07words.md	History/07words_pronunciation/index.html	History/07words_pronunciation/audio/011_gather.mp3	集まる、集める		GĂ-thər	assemble, collect, convene
51	habitat	habitat	3	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md,SantaAI/単語集/6月/知らない単語集0602.md,SantaAI/単語集/6月/知らない単語集0617.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/SantaAI_pronunciation/audio/051_habitat.mp3	生息地		HAB-ə-tăt	natural environment, home range, living area
52	immediate	immediate	3	Linguistics,Psychology,SantaAI	Linguistics/20words.md,Psychology/29words.md,SantaAI/単語集/6月/知らない単語集0601.md	Linguistics/20words.md	Linguistics/20words_pronunciation/index.html	Linguistics/20words_pronunciation/audio/005_immediate.mp3	直接の；即座の；現在の		ĭ-MĒ-dē-ĭt	direct, instant, present
53	indicate	indicate	3	Archaeology,SantaAI,Theater	Archaeology/03/03words.md,SantaAI/単語集/5月/知らない単語集0523.md,Theater/26words.md	Archaeology/03/03words.md	Archaeology/03/03words_pronunciation/index.html	Archaeology/03/03words_pronunciation/audio/021_indicate.mp3	示す、指示する、指摘する		ÌN-də-kāt	show, suggest, demonstrate
54	individual	individual	3	Archaeology,Environmentology,History	Archaeology/03/03words.md,Environmentology/13words.md,History/07words.md	Archaeology/03/03words.md	Archaeology/03/03words_pronunciation/index.html	Archaeology/03/03words_pronunciation/audio/004_individual.mp3	個人、個体；個々の		ìn-də-VĬJ-oo-əl	single, particular, distinct
55	lithosphere	lithosphere	3	Geology	Geology/54words.md	Geology/54words.md	Geology/54words_pronunciation/index.html	Geology/54words_pronunciation/audio/050_lithosphere.mp3	岩石圏		LITH-ə-sfēr	rigid shell, crust-mantle lid, tectonic plate layer
56	maintain	maintain	3	SantaAI	SantaAI/単語集/5月/知らない単語集0513.md,SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0513.md	SantaAI/単語集/5月/知らない単語集0513.md	SantaAI/SantaAI_pronunciation/audio/056_maintain.mp3	維持する；保つ		mān-TĀN	keep, preserve, sustain
57	moisture	moisture	3	EarthScience,SantaAI	EarthScience/47words.md,SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/5月/知らない単語集0530.md	EarthScience/47words.md	EarthScience/47words_pronunciation/index.html	EarthScience/47words_pronunciation/audio/014_moisture.mp3	湿気；水分		MOIS-chər	humidity, dampness, water content
58	molecules	molecules	3	Biology,SantaAI	Biology/43words.md,SantaAI/単語集/5月/知らない単語集0527.md,SantaAI/単語集/5月/知らない単語集0530.md	Biology/43words.md	Biology/43words_pronunciation/index.html	Biology/43words_pronunciation/audio/044_molecules.mp3	分子	molecule	MŎL-ə-kyōōlz	compounds, particles, chemical entities
59	molting	molting	3	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/5月/知らない単語集0530.md,SantaAI/単語集/6月/知らない単語集0610.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/SantaAI_pronunciation/audio/059_molting.mp3	脱皮	molt	MŌL-tĭng	shedding, sloughing, skin-casting
60	mutualism	mutualism	3	Biology	Biology/42words.md	Biology/42words.md	Biology/42words_pronunciation/index.html	Biology/42words_pronunciation/audio/051_mutualism.mp3	相利共生		MYŪ-chōō-əl-ĭ-zəm	cooperative symbiosis, reciprocal relationship, win-win association
61	noticeable	noticeable	3	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/6月/知らない単語集0603.md,SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/SantaAI_pronunciation/audio/061_noticeable.mp3	目立つ、気づきやすい		NŌ-tə-sə-bəl	obvious, evident, apparent
62	participants	participants	3	SantaAI	SantaAI/単語集/5月/知らない単語集0517.md,SantaAI/単語集/5月/知らない単語集0523.md,SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0517.md	SantaAI/単語集/5月/知らない単語集0517.md	SantaAI/SantaAI_pronunciation/audio/062_participants.mp3	参加者	participant	pär-TĬS-ĭ-pənts	attendees, members, contributors
63	perceive	perceive	3	Film,SantaAI	Film/ToolsofFilmmaking.md,SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/5月/知らない単語集0524.md	Film/ToolsofFilmmaking.md	Film/ToolsofFilmmaking.md	Film/Film_pronunciation/audio/063_perceive.mp3	知覚する、認識する；理解する		pər-SĒV	sense, recognize, detect
64	performed	performed	3	AmericanHistory,Physics,Theater	AmericanHistory/09words.md,Physics/59words.md,Theater/26words.md	AmericanHistory/09words.md	AmericanHistory/09words_pronunciation/index.html	AmericanHistory/09words_pronunciation/audio/038_performed.mp3	遂行した；実行した	perform	pər-FÔRM	carried out, executed, accomplished
65	political	political	3	History,Journalism,SantaAI	History/07words.md,Journalism/Newspapres.md,SantaAI/単語集/6月/知らない単語集0605.md	History/07words.md	History/07words_pronunciation/index.html	History/07words_pronunciation/audio/004_political.mp3	政治の、政治的な		pə-LĬT-ĭ-kəl	governmental, civic, public
66	precisely	precisely	3	Linguistics,Medicine,Physics	Linguistics/20words.md,Medicine/56words.md,Physics/59words.md	Linguistics/20words.md	Linguistics/20words_pronunciation/index.html	Linguistics/20words_pronunciation/audio/024_precisely.mp3	正確に；まさに；厳密に		prĭ-SĪS-lē	exactly, accurately, specifically
67	promote	promote	3	SantaAI,Women'sStudy	SantaAI/単語集/5月/知らない単語集0516.md,SantaAI/単語集/5月/知らない単語集0530.md,Women'sStudy/31words.md	SantaAI/単語集/5月/知らない単語集0516.md	SantaAI/単語集/5月/知らない単語集0516.md	SantaAI/SantaAI_pronunciation/audio/067_promote.mp3	促進する；推進する		prə-MŌT	encourage, support, foster
68	provided	provided	3	Biology,Women'sStudy	Biology/37words.md,Women'sStudy/31words.md	Biology/37words.md	Biology/37words_pronunciation/index.html	Biology/37words_pronunciation/audio/006_provided.mp3	提供した；与えた	provide	prə-VĪD	supplied, offered, gave
69	reservoirs	reservoirs	3	Geology	Geology/53words.md,Geology/55words.md	Geology/53words.md	Geology/53words_pronunciation/index.html	Geology/53words_pronunciation/audio/013_reservoirs.mp3	貯留層；貯留域	reservoir	RĔZ-ər-vwärz	storage zones, reservoirs, trapped pools
70	resist	resist	3	EarthScience,SantaAI	EarthScience/47words.md,SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/6月/知らない単語集0610.md	EarthScience/47words.md	EarthScience/47words_pronunciation/index.html	EarthScience/47words_pronunciation/audio/037_resist.mp3	抵抗する；妨げる		rĭ-ZĬST	oppose, hinder, counteract
71	reveal	reveal	3	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/5月/知らない単語集0529.md,SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/SantaAI_pronunciation/audio/071_reveal.mp3	明らかにする；示す		rĭ-VĒL	show, disclose, uncover
72	reveals	reveals	3	ArtHistory,Ethnology,SantaAI	ArtHistory/05/05words.md,Ethnology/EthnoogyandIdentity.md,SantaAI/単語集/6月/知らない単語集0608.md	ArtHistory/05/05words.md	ArtHistory/05/05words_pronunciation/index.html	ArtHistory/05/05words_pronunciation/audio/051_reveals.mp3	明らかにする；示す；暴露する	reveal	rĭ-VĒL	discloses, uncovers, exposes
73	specimen	specimen	3	Optics	Optics/51words.md	Optics/51words.md	Optics/51words_pronunciation/index.html	Optics/51words_pronunciation/audio/006_specimen.mp3	試料；標本		SPĔS-ə-mən	sample, sample material, test piece
74	subduction	subduction	3	Geology	Geology/54words.md	Geology/54words.md	Geology/54words_pronunciation/index.html	Geology/54words_pronunciation/audio/012_subduction.mp3	沈み込み（作用）		sebä-DUK-shən	plate underthrusting, sinking process, tectonic descent
75	substance	substance	3	SantaAI	SantaAI/単語集/5月/知らない単語集0530.md,SantaAI/単語集/6月/知らない単語集0602.md,SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/SantaAI_pronunciation/audio/075_substance.mp3	物質		SŬB-stəns	material, matter, compound
76	suggest	suggest	3	Medicine,SantaAI,Theater	Medicine/56words.md,SantaAI/単語集/6月/知らない単語集0601.md,Theater/26words.md	Medicine/56words.md	Medicine/56words_pronunciation/index.html	Medicine/56words_pronunciation/audio/008_suggesting.mp3	提案する；示唆する		sə-JEST	propose, indicate, imply
77	survive	survive	3	Biology,BusinessAsministration&Economics	Biology/37words.md,Biology/41words.md,BusinessAsministration&Economics/11words.md	Biology/37words.md	Biology/37words_pronunciation/index.html	Biology/37words_pronunciation/audio/020_survive.mp3	生き残る；存続する		sər-VĪV	endure, persist, remain alive
